Produto;Valor 2025 (US$ Mi);MD 2025;Valor 2024 (US$ Mi);MD 2024;Var. % (MD);Part. % 2025;Part. % 2024
C - Indústria de Transformação;11.934,34;795,62;15.695,58;747,40;6,45;55,23;63,08
Carne bovina fresca, refrigerada ou congelada;1.220,60;81,37;1.002,97;47,76;70,37;5,64;4,03
Açúcares e melaços;803,52;53,56;1.354,47;64,49;-16,94;3,71;5,44
Farelos de soja e outros alimentos para animais;606,54;40,43;837,77;39,89;1,35;2,80;3,36
Celulose;593,89;39,59;922,15;43,91;-9,83;2,74;3,70
Óleos combustíveis de petróleo;580,11;38,67;781,62;37,22;3,90;2,68;3,14
Carnes de aves e suas miudezas;568,09;37,87;764,22;36,39;4,07;2,62;3,07
Ouro, não monetário;513,65;34,24;431,86;20,56;66,51;2,37;1,73
Aeronaves e outros equipamentos;439,83;29,32;714,98;34,04;-13,87;2,03;2,87
Ferro-gusa e ligas de ferro;334,57;22,30;469,50;22,35;-0,23;1,54;1,88
Tabaco, descaulificado ou desnervado;250,27;16,68;348,81;16,61;0,45;1,15;1,40
Demais produtos não listados;6.023,22;401,54;8.067,19;384,15;4,52;27,87;32,42
